Time,sig_wav_ht_surface,max_wav_ht_surface,peak_wav_dir_surface,peak_wav_per_surface,u-component_of_wind_height_above_ground,v-component_of_wind_height_above_ground
2015-05-28 18:00 CST,1.7685333490371704,2.246037244796753,218.5175323486328,16.0,-2.274766683578491,1.2686829566955566
2015-05-29 00:00 CST,1.7152445316314697,2.1783607006073,219.73199462890625,16.0,-5.396270751953125,-0.6677842736244202
2015-05-29 06:00 CST,1.6850230693817139,2.139979362487793,221.72430419921875,16.0,-4.5584282875061035,-1.9888168573379517
2015-05-29 12:00 CST,1.6923500299453735,2.149284601211548,220.74826049804688,15.777880668640137,-1.2917520999908447,-3.129287004470825
2015-05-29 18:00 CST,1.6592764854431152,2.10728120803833,215.77029418945312,14.000000953674316,-0.3625602126121521,2.040055751800537
2015-05-30 00:00 CST,1.5866013765335083,2.014983654022217,220.9501495361328,14.000000953674316,-2.595489501953125,1.230589509010315
2015-05-30 06:00 CST,1.5114041566848755,1.9194833040237427,222.96937561035156,14.000000953674316,-3.5906403064727783,-2.961179256439209
2015-05-30 12:00 CST,1.569715976715088,1.9935393333435059,222.4982452392578,14.000000953674316,-0.3382625877857208,-2.46929931640625
2015-05-30 18:00 CST,1.4416966438293457,1.8309550285339355,219.81268310546875,14.000000953674316,1.872464656829834,3.050100326538086
2015-05-31 00:00 CST,1.319167137145996,1.675342321395874,221.47508239746094,14.000000953674316,0.030953262001276016,1.3089386224746704
2015-05-31 06:00 CST,1.2871849536895752,1.6347248554229736,222.2183837890625,14.000000953674316,-3.2579333782196045,-3.946817398071289
2015-05-31 12:00 CST,1.297839879989624,1.6482566595077515,220.99627685546875,13.249015808105469,0.27625787258148193,-2.3501780033111572
2015-05-31 18:00 CST,1.2090911865234375,1.535545825958252,217.3739776611328,13.249015808105469,1.2868229150772095,3.969503402709961
2015-06-01 00:00 CST,1.1387455463409424,1.4462069272994995,211.0002899169922,14.000000953674316,0.6466657519340515,1.3214160203933716
2015-06-01 06:00 CST,1.1624048948287964,1.4762542247772217,215.93092346191406,14.000000953674316,-2.487719774246216,-2.3205454349517822
2015-06-01 12:00 CST,1.2299156188964844,1.5619927644729614,223.17227172851562,14.000000953674316,-0.6223083734512329,-2.64452862739563
2015-06-01 18:00 CST,1.2100142240524292,1.5367182493209839,227.23374938964844,14.000000953674316,3.568896770477295,2.4895968437194824
2015-06-02 00:00 CST,1.2174867391586304,1.546208143234253,217.4481964111328,13.965424537658691,1.7641816139221191,-1.594403624534607
2015-06-02 06:00 CST,1.2396832704544067,1.5743976831436157,222.1145477294922,14.77695369720459,-3.9388740062713623,-2.818007230758667
2015-06-02 12:00 CST,1.4122521877288818,1.793560266494751,219.5945587158203,13.996062278747559,-0.010322749614715576,-2.8758978843688965
2015-06-02 18:00 CST,1.3206572532653809,1.6772346496582031,211.27308654785156,16.023040771484375,0.19864356517791748,2.890990972518921
2015-06-03 00:00 CST,1.2881662845611572,1.635971188545227,229.00787353515625,19.0,1.3702054023742676,1.8513057231903076
2015-06-03 06:00 CST,1.2600810527801514,1.6003029346466064,223.6731414794922,18.11152458190918,-2.137054681777954,-3.028026580810547
2015-06-03 12:00 CST,1.272840142250061,1.6165070533752441,228.25689697265625,18.0,2.8276801109313965,-2.55044549703598E-4
2015-06-03 18:00 CST,1.3023407459259033,1.653972864151001,228.25689697265625,18.0,4.590283393859863,1.4270009994506836
2015-06-04 00:00 CST,1.2463232278823853,1.5828304290771484,228.22232055664062,17.75098419189453,2.002467632293701,-0.7310030460357666
2015-06-04 06:00 CST,1.1807270050048828,1.499523401260376,227.9693603515625,16.0,1.0291634798049927,-1.870877981185913
2015-06-04 12:00 CST,1.2160531282424927,1.5443875789642334,227.72035217285156,16.0,5.524905681610107,-0.8586435317993164
2015-06-04 18:00 CST,1.2534093856811523,1.5918298959732056,226.72035217285156,16.0,5.0224080085754395,0.8907777667045593
2015-06-05 00:00 CST,1.2359387874603271,1.569642424583435,226.74339294433594,15.992319107055664,2.2335081100463867,-1.5963577032089233
2015-06-05 06:00 CST,1.2317641973495483,1.5643407106399536,227.2183837890625,14.992321014404297,1.3081438541412354,-2.3900036811828613
