Time,sig_wav_ht_surface,max_wav_ht_surface,peak_wav_dir_surface,peak_wav_per_surface,u-component_of_wind_height_above_ground,v-component_of_wind_height_above_ground
2015-05-28 18:00 CST,1.1775000095367432,1.4954249858856201,69.75,8.0,-1.8450000286102295,-0.6550000309944153
2015-05-29 00:00 CST,1.1099998950958252,1.4096999168395996,70.75,8.0,1.4049999713897705,0.4449999928474426
2015-05-29 06:00 CST,1.0425000190734863,1.3239749670028687,71.25,8.0,3.075000047683716,1.7000000476837158
2015-05-29 12:00 CST,0.9599999785423279,1.2191998958587646,70.25,8.0,0.875,-3.1600000858306885
2015-05-29 18:00 CST,0.9074999094009399,1.1525249481201172,69.25,7.75,0.8999999761581421,-2.924999952316284
2015-05-30 00:00 CST,0.8600000143051147,1.0921999216079712,68.25,7.0,3.244999885559082,0.2750000059604645
2015-05-30 06:00 CST,0.8199999928474426,1.0413999557495117,67.0,7.0,4.345000267028809,-1.9300000667572021
2015-05-30 12:00 CST,0.7999999523162842,1.0159999132156372,66.0,7.0,1.584999918937683,-4.96999979019165
2015-05-30 18:00 CST,0.7799999713897705,0.9905999898910522,64.5,7.0,0.7450000047683716,-3.434999942779541
2015-05-31 00:00 CST,0.7224999666213989,0.917574942111969,65.0,7.0,3.4700000286102295,-1.409999966621399
2015-05-31 06:00 CST,0.7049999833106995,0.8953499794006348,67.0,7.0,3.9200000762939453,-1.4950000047683716
2015-05-31 12:00 CST,0.7624999284744263,0.9683749675750732,68.5,7.0,1.2300000190734863,-3.865000009536743
2015-05-31 18:00 CST,0.8374999761581421,1.0636249780654907,68.25,7.0,0.5,-2.450000047683716
2015-06-01 00:00 CST,0.8675000071525574,1.1017248630523682,66.5,7.25,1.0399999618530273,-0.6050000190734863
2015-06-01 06:00 CST,0.9474999904632568,1.2033250331878662,64.0,8.0,0.36000001430511475,0.22499999403953552
2015-06-01 12:00 CST,1.0399999618530273,1.3207999467849731,63.50000000000001,8.0,-1.1449999809265137,-3.2649998664855957
2015-06-01 18:00 CST,1.127500057220459,1.4319250583648682,63.75,8.0,-2.3000001907348633,-1.375
2015-06-02 00:00 CST,1.1475000381469727,1.4573249816894531,64.25,8.0,0.36000001430511475,0.550000011920929
2015-06-02 06:00 CST,1.1649999618530273,1.4795498847961426,65.0,8.0,0.47999998927116394,0.5049999952316284
2015-06-02 12:00 CST,1.1974999904632568,1.520824909210205,65.5,8.0,-1.149999976158142,-3.174999952316284
2015-06-02 18:00 CST,1.2400000095367432,1.5748000144958496,65.25,8.0,-0.9650000333786011,-1.9200000762939453
2015-06-03 00:00 CST,1.1999999284744263,1.5239999294281006,64.25,8.0,1.1649999618530273,0.050000011920928955
2015-06-03 06:00 CST,1.1150000095367432,1.4160499572753906,64.25,8.0,1.1649999618530273,-0.9049999713897705
2015-06-03 12:00 CST,1.0474998950958252,1.3303250074386597,63.50000000000001,8.0,-0.5449999570846558,-3.5399999618530273
2015-06-03 18:00 CST,1.0074999332427979,1.2795250415802002,63.75,8.0,-1.684999942779541,-0.7699999809265137
2015-06-04 00:00 CST,0.9724999666213989,1.2350749969482422,64.75,8.0,0.35499998927116394,-0.3149999976158142
2015-06-04 06:00 CST,0.9174998998641968,1.1652250289916992,65.0,8.0,0.5649999976158142,0.12999999523162842
2015-06-04 12:00 CST,0.8549999594688416,1.0858500003814697,66.75,8.0,-1.7750000953674316,-2.809999942779541
2015-06-04 18:00 CST,0.8100000023841858,1.0286999940872192,67.5,8.0,-1.6050000190734863,-0.9199999570846558
2015-06-05 00:00 CST,0.7949999570846558,1.0096499919891357,66.5,8.0,-0.925000011920929,0.8350000381469727
2015-06-05 06:00 CST,0.7699999809265137,0.977899968624115,65.75,8.0,0.004999999888241291,0.09999999403953552
