Time,sig_wav_ht_surface,max_wav_ht_surface,peak_wav_dir_surface,peak_wav_per_surface,u-component_of_wind_height_above_ground,v-component_of_wind_height_above_ground
2015-05-28 18:00 CST,1.9238579273223877,2.4432992935180664,211.01092529296875,16.0,-2.944502592086792,3.839663028717041
2015-05-29 00:00 CST,1.8729794025421143,2.3786838054656982,213.6987762451172,16.0,-3.0809733867645264,3.5864360332489014
2015-05-29 06:00 CST,1.8012906312942505,2.2876391410827637,214.9967041015625,16.0,-2.4074485301971436,1.9918713569641113
2015-05-29 12:00 CST,1.7105132341384888,2.1723520755767822,207.72061157226562,14.30123519897461,-2.1213815212249756,0.6092256903648376
2015-05-29 18:00 CST,1.6312062740325928,2.071631669998169,214.11050415039062,14.0,1.5205565690994263,3.8127284049987793
2015-05-30 00:00 CST,1.5482597351074219,1.9662898778915405,219.389892578125,14.0,1.145203709602356,2.41694712638855
2015-05-30 06:00 CST,1.4893214702606201,1.8914381265640259,219.29794311523438,14.0,0.9426249861717224,-0.5518659353256226
2015-05-30 12:00 CST,1.445762038230896,1.8361177444458008,216.59918212890625,14.0,0.851645827293396,-2.334383964538574
2015-05-30 18:00 CST,1.3976902961730957,1.7750667333602905,209.5977783203125,14.0,4.030721187591553,0.8023061752319336
2015-05-31 00:00 CST,1.332552194595337,1.6923414468765259,202.72174072265625,14.0,1.3702658414840698,2.4616432189941406
2015-05-31 06:00 CST,1.2596925497055054,1.5998095273971558,219.29794311523438,14.0,2.249358654022217,-0.9986452460289001
2015-05-31 12:00 CST,1.2098242044448853,1.536476731300354,215.90805053710938,14.0,2.3672282695770264,-0.9421128630638123
2015-05-31 18:00 CST,1.178719162940979,1.4969732761383057,208.38479614257812,14.0,3.223443031311035,1.368682622909546
2015-06-01 00:00 CST,1.1158264875411987,1.4170997142791748,199.97900390625,14.0,0.8362224698066711,2.1887853145599365
2015-06-01 06:00 CST,1.0939191579818726,1.389277458190918,215.8059844970703,14.0,1.402264952659607,-0.5496869683265686
2015-06-01 12:00 CST,1.117030382156372,1.418628454208374,222.40516662597656,14.0,2.981327772140503,-2.3467373847961426
2015-06-01 18:00 CST,1.1349294185638428,1.441360354423523,226.28631591796875,14.0,5.073958396911621,1.5807932615280151
2015-06-02 00:00 CST,1.1329233646392822,1.4388127326965332,216.69876098632812,13.98907470703125,4.021791458129883,0.605334997177124
2015-06-02 06:00 CST,1.1939520835876465,1.5163192749023438,206.9665985107422,18.903705596923828,3.9845051765441895,-1.9982997179031372
2015-06-02 12:00 CST,1.263396143913269,1.6045129299163818,203.2224578857422,16.301233291625977,3.069140911102295,-0.9762137532234192
2015-06-02 18:00 CST,1.352211833000183,1.7173091173171997,199.2589111328125,16.03277587890625,4.618722915649414,2.1213126182556152
2015-06-03 00:00 CST,1.3768987655639648,1.7486613988876343,223.0,19.0,4.7672953605651855,-0.42878827452659607
2015-06-03 06:00 CST,1.347676157951355,1.7115485668182373,200.57534790039062,14.331771850585938,3.817070722579956,-2.0236544609069824
2015-06-03 12:00 CST,1.3677524328231812,1.7370455265045166,223.69113159179688,18.0,2.980612277984619,-1.2582592964172363
2015-06-03 18:00 CST,1.3763854503631592,1.748009443283081,223.69113159179688,18.0,4.691999435424805,-0.10456547141075134
2015-06-04 00:00 CST,1.3061338663101196,1.658790111541748,223.01197814941406,16.99236488342285,3.747576951980591,-0.8478962779045105
2015-06-04 06:00 CST,1.284488558769226,1.6313005685806274,224.98907470703125,16.0,3.262176752090454,-2.9014155864715576
2015-06-04 12:00 CST,1.341509222984314,1.703716516494751,223.98907470703125,16.0,3.454608201980591,-2.8062257766723633
2015-06-04 18:00 CST,1.3434163331985474,1.7061388492584229,223.68783569335938,16.0,4.423904895782471,-0.4480104148387909
2015-06-05 00:00 CST,1.303492784500122,1.6554358005523682,225.09524536132812,15.297944068908691,4.759147644042969,-0.7939890027046204
2015-06-05 06:00 CST,1.3277524709701538,1.6862454414367676,224.98907470703125,14.297944068908691,2.707719326019287,-3.4921767711639404
