Time,LatLon_14X16-11p0N-87p00W/sig_wav_ht_surface,LatLon_14X16-11p0N-87p00W/max_wav_ht_surface,LatLon_14X16-11p0N-87p00W/peak_wav_dir_surface,LatLon_14X16-11p0N-87p00W/peak_wav_per_surface,LatLon_27X31-10p25N-87p25W/wnd_ucmp_height_above_ground,LatLon_27X31-10p25N-87p25W/wnd_vcmp_height_above_ground
2015-03-10 00:00 CST,1.46499502658844,1.8605436086654663,89.12020111083984,6.360002517700195,-31.60652618408203,-22.790917968749998
2015-03-10 06:00 CST,1.3409955501556396,1.7030643224716187,88.28020477294922,6.360002517700195,-38.779166793823244,-25.49666519165039
2015-03-10 12:00 CST,1.6263991594314575,2.0655269622802734,88.80020141601562,6.280009746551514,-26.02218074798584,-23.31502590179443
2015-03-10 18:00 CST,1.4095962047576904,1.7901874780654907,92.32018280029297,6.3400044441223145,-30.234285736083983,-15.668629074096678
2015-03-11 00:00 CST,1.3781955242156982,1.7503083944320679,92.92021942138672,6.360002517700195,-37.55517997741699,-21.5539758682251
2015-03-11 06:00 CST,1.4167964458465576,1.799331545829773,92.02024841308594,6.640013217926025,-36.87553825378418,-24.039371681213378
2015-03-11 12:00 CST,1.6865991353988647,2.1419808864593506,93.40025329589844,7.360019207000732,-24.062391471862792,-22.975186157226563
2015-03-11 18:00 CST,1.6209954023361206,2.058664083480835,97.29991149902344,7.2799906730651855,-29.11251983642578,-17.4757942199707
2015-03-12 00:00 CST,1.5587955713272095,1.9796704053878784,195.760986328125,15.2000732421875,-31.665526199340817,-21.63745651245117
2015-03-12 06:00 CST,1.578395962715149,2.0045628547668457,194.34100341796875,14.920080184936523,-28.51197624206543,-23.84634017944336
2015-03-12 12:00 CST,1.8427988290786743,2.3403546810150146,202.2999725341797,14.0,-23.673614501953125,-23.48639373779297
2015-03-12 18:00 CST,1.780995488166809,2.261864185333252,195.42091369628906,13.360058784484863,-31.60805740356445,-21.36957206726074
2015-03-13 00:00 CST,1.7635949850082397,2.2397656440734863,194.740966796875,13.360058784484863,-32.74558868408203,-19.915225982666016
2015-03-13 06:00 CST,1.6937952041625977,2.1511199474334717,188.32125854492188,13.2000732421875,-32.49073333740234,-22.878715896606444
2015-03-13 12:00 CST,1.8891987800598145,2.399282455444336,89.15911102294922,7.099952697753906,-23.47056655883789,-24.50731372833252
2015-03-13 18:00 CST,1.6657955646514893,2.115560293197632,194.42092895507812,12.440052032470703,-34.02437324523925,-14.16955919265747
2015-03-14 00:00 CST,1.5769946575164795,2.0027832984924316,189.92123413085938,12.300064086914062,-35.861778259277344,-18.907230377197266
2015-03-14 06:00 CST,1.5391944646835327,1.9547772407531738,188.1212158203125,12.300064086914062,-36.28080024719238,-19.373751068115233
2015-03-14 12:00 CST,1.6333982944488525,2.074415683746338,89.64021301269531,6.280009746551514,-25.538401222229,-19.810069656372068
2015-03-14 18:00 CST,1.4473965167999268,1.8381935358047485,93.13988494873047,6.399998664855957,-27.587528228759766,-10.3477632522583
2015-03-15 00:00 CST,1.406195878982544,1.7858688831329346,191.10096740722656,11.520044326782227,-34.37999038696289,-20.49412136077881
2015-03-15 06:00 CST,1.3923966884613037,1.7683439254760742,186.96124267578125,11.320061683654785,-35.04239730834961,-21.801581954956053
2015-03-15 12:00 CST,1.6495996713638306,2.0949912071228027,84.46018981933594,6.280009746551514,-24.422404861450193,-21.529450607299804
2015-03-15 18:00 CST,1.558996558189392,1.979925513267517,90.94017028808594,6.360002517700195,-33.05801582336426,-17.50890769958496
2015-03-16 00:00 CST,1.4311952590942383,1.8176180124282837,87.98014831542969,6.360002517700195,-36.5500991821289,-21.041334915161134
2015-03-16 06:00 CST,1.479595422744751,1.879085898399353,78.38011932373047,6.100008010864258,-39.038413238525386,-24.446911239624022
2015-03-16 12:00 CST,1.6299971342086792,2.070096492767334,79.60013580322266,7.360019207000732,-22.956499099731445,-22.102560997009277
2015-03-16 18:00 CST,1.571395993232727,1.9956728219985962,184.26112365722656,16.80010986328125,-31.289838409423826,-17.386501121520997
2015-03-17 00:00 CST,1.6451945304870605,2.0893969535827637,184.08114624023438,15.900100708007812,-37.092957687377925,-24.13731651306152
