Time,LatLon_27X31-10p25N-87p25W/wnd_ucmp_height_above_ground,LatLon_27X31-10p25N-87p25W/wnd_vcmp_height_above_ground
2015-03-10 00:00 CST,-8.999959659576415,-12.016848278045654
2015-03-10 06:00 CST,-13.312741470336913,-11.39044132232666
2015-03-10 12:00 CST,-10.173545837402344,-10.152032375335693
2015-03-10 18:00 CST,-10.35351390838623,-8.913641452789307
2015-03-11 00:00 CST,-11.75754690170288,-11.404837703704834
2015-03-11 06:00 CST,-10.67035789489746,-8.208062553405762
2015-03-11 12:00 CST,-5.327970027923584,-3.9456483364105224
2015-03-11 18:00 CST,-5.234321451187133,-1.7280818223953247
2015-03-12 00:00 CST,-9.143986988067626,-8.553644371032714
2015-03-12 06:00 CST,-10.655958080291748,-8.078459930419921
2015-03-12 12:00 CST,-3.7439599514007567,-3.0240533351898193
2015-03-12 18:00 CST,-5.8319262027740475,-3.096073007583618
2015-03-13 00:00 CST,-11.159953308105468,-10.080038452148438
2015-03-13 06:00 CST,-13.514345741271972,-12.117625522613524
2015-03-13 12:00 CST,-10.540743255615235,-7.941624355316161
2015-03-13 18:00 CST,-7.862337398529053,-7.848057746887207
2015-03-14 00:00 CST,-13.564753246307372,-10.656013011932373
2015-03-14 06:00 CST,-11.397577285766602,-11.397616767883301
2015-03-14 12:00 CST,-4.017559432983398,-3.117653203010559
2015-03-14 18:00 CST,-6.12716703414917,-3.8592889308929443
2015-03-15 00:00 CST,-11.822360229492187,-9.684036254882812
2015-03-15 06:00 CST,-10.432772541046143,-9.720037078857422
2015-03-15 12:00 CST,-1.7351773381233215,-0.7200577318668365
2015-03-15 18:00 CST,-6.400713300704956,-3.2256923675537106
2015-03-16 00:00 CST,-10.0367600440979,-10.562427520751953
2015-03-16 06:00 CST,-13.737551879882812,-14.328010368347167
2015-03-16 12:00 CST,-15.544751358032226,-14.968810272216796
2015-03-16 18:00 CST,-13.255121612548827,-12.672047996520995
2015-03-17 00:00 CST,-16.149516105651855,-13.86721029281616
