Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_speed_surface,Wind_direction_from_which_blowing_surface
2015-01-20 00:00:00 CST,1.1855987310409546,(221.87680053710938),(76.71939849853516),(247.87391662597656),(42.31877899169922),9.598794937133789,(53.818397521972656)
2015-01-20 06:00:00 CST,1.260398030281067,(221.99880981445312),(38.81638717651367),(148.95518493652344),(34.91196823120117),8.566390037536621,(58.339630126953125)
2015-01-20 12:00:00 CST,1.13079833984375,(222.4663848876953),(135.73374938964844),(246.49957275390625),(missing),6.030792713165283,(54.96765899658203)
2015-01-20 18:00:00 CST,1.0499987602233887,(200.38819885253906),(251.4979705810547),(234.9055938720703),(missing),5.821198463439941,(96.0125503540039)
2015-01-21 00:00:00 CST,0.9735991954803467,(222.52561950683594),(199.36732482910156),(231.5072021484375),(49.349185943603516),6.846796035766602,(72.22761535644531)
2015-01-21 06:00:00 CST,0.9963988661766052,(217.2444305419922),(159.00404357910156),(235.20639038085938),(44.37877655029297),7.027192115783691,(61.03321075439453)
2015-01-21 12:00:00 CST,1.0079987049102783,(203.2086639404297),(256.0584716796875),(230.31201171875),(missing),5.337593078613281,(33.43598175048828)
2015-01-21 18:00:00 CST,1.0355989933013916,(196.36338806152344),(224.10101318359375),(226.631591796875),(missing),6.090395927429199,(70.88738250732422)
2015-01-22 00:00:00 CST,0.9995988607406616,(178.4936065673828),(212.36244201660156),(232.416015625),(40.33197784423828),6.475193023681641,(67.03639221191406)
2015-01-22 06:00:00 CST,1.059598684310913,(179.33441162109375),(139.2196807861328),(228.27679443359375),(38.871585845947266),7.552793502807617,(55.06040573120117)
2015-01-22 12:00:00 CST,1.043198585510254,(179.86761474609375),(228.8683319091797),(248.46994018554688),(missing),4.804792404174805,(45.90001678466797)
2015-01-22 18:00:00 CST,1.0419989824295044,(243.60707092285156),(237.272216796875),(231.894775390625),(missing),4.64839506149292,(88.38827514648438)
2015-01-23 00:00:00 CST,1.0779991149902344,(211.57997131347656),(208.85406494140625),(234.14356994628906),(38.745182037353516),6.921993732452393,(66.77881622314453)
2015-01-23 06:00:00 CST,1.1155986785888672,(213.26634216308594),(212.12684631347656),(239.39996337890625),(missing),6.357192516326904,(59.91561508178711)
2015-01-23 12:00:00 CST,1.09079909324646,(243.1984100341797),(218.49839782714844),(230.35037231445312),(missing),3.347992420196533,(46.09318161010742)
2015-01-23 18:00:00 CST,1.0635993480682373,(197.8933868408203),(218.71717834472656),(231.0867919921875),(missing),3.1176085472106934,(131.25265502929688)
2015-01-24 00:00:00 CST,1.055199384689331,(180.9700469970703),(217.9259796142578),(232.8143768310547),(29.612770080566406),4.33799934387207,(68.8572006225586)
2015-01-24 06:00:00 CST,1.1011990308761597,(182.44281005859375),(221.85397338867188),(237.08358764648438),(33.99197769165039),6.601193428039551,(53.3608283996582)
2015-01-24 12:00:00 CST,1.1579986810684204,(282.1138000488281),(257.895263671875),(229.64920043945312),(19.899547576904297),6.164390563964844,(20.999549865722656)
2015-01-24 18:00:00 CST,1.1347991228103638,(272.9403076171875),(253.07777404785156),(229.19078063964844),(23.003583908081055),7.187594890594482,(58.71889877319336)
2015-01-25 00:00:00 CST,1.260798692703247,(226.49610900878906),(101.54885864257812),(229.85958862304688),(49.246795654296875),9.941993713378906,(58.11281967163086)
2015-01-25 06:00:00 CST,1.3623977899551392,(281.551025390625),(33.075950622558594),(232.7327880859375),(39.68518829345703),9.761590957641602,(51.790016174316406)
