Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_direction_from_which_blowing_surface,Wind_speed_surface
2015-01-20 00:00:00 CST,1.4359993934631348,(222.70001220703125),(66.14794158935547),(59.23395538330078),(59.44195556640625),(58.44797897338867),13.148005485534668
2015-01-20 06:00:00 CST,1.86199951171875,(221.8280029296875),(56.497955322265625),(54.119956970214844),(54.43996047973633),(54.545997619628906),14.408007621765137
2015-01-20 12:00:00 CST,1.4819985628128052,(196.76376342773438),(56.41195297241211),(55.37397003173828),(53.92795944213867),(54.441978454589844),11.055997848510742
2015-01-20 18:00:00 CST,1.0239989757537842,(204.01626586914062),(68.38389587402344),(229.78001403808594),(55.385948181152344),(58.63196563720703),8.619998931884766
2015-01-21 00:00:00 CST,1.2519989013671875,(196.56375122070312),(71.27793884277344),(61.3299560546875),(62.90595245361328),(64.78598022460938),11.303998947143555
2015-01-21 06:00:00 CST,1.3159987926483154,(179.37002563476562),(61.77996063232422),(54.54796600341797),(56.52397155761719),(58.355979919433594),11.617999076843262
2015-01-21 12:00:00 CST,1.1259987354278564,(179.3880157470703),(58.43393325805664),(227.5480194091797),(51.31795883178711),(51.27196502685547),8.971996307373047
2015-01-21 18:00:00 CST,0.9739990234375,(179.2840118408203),(81.49589538574219),(223.28402709960938),(57.55995178222656),(57.44995880126953),8.515996932983398
2015-01-22 00:00:00 CST,1.1979987621307373,(179.2460174560547),(70.13395690917969),(230.43801879882812),(59.955963134765625),(61.33797836303711),10.993997573852539
2015-01-22 06:00:00 CST,1.225998878479004,(180.2160186767578),(64.20796203613281),(226.78201293945312),(56.39997100830078),(57.68598556518555),11.099998474121094
2015-01-22 12:00:00 CST,1.1179986000061035,(196.32177734375),(62.78993225097656),(222.7860107421875),(52.239959716796875),(53.32395935058594),8.979994773864746
2015-01-22 18:00:00 CST,0.9919992089271545,(196.93777465820312),(109.037841796875),(228.73001098632812),(57.14996337890625),(59.045982360839844),8.243999481201172
2015-01-23 00:00:00 CST,1.331998586654663,(218.75),(70.96194458007812),(229.3740234375),(59.94396209716797),(60.05598449707031),11.393997192382812
2015-01-23 06:00:00 CST,1.3639986515045166,(219.3620147705078),(67.2779541015625),(231.5980224609375),(57.061973571777344),(59.92798614501953),11.343998908996582
2015-01-23 12:00:00 CST,1.1679986715316772,(217.54400634765625),(84.89193725585938),(227.280029296875),(57.13996124267578),(58.955963134765625),8.747995376586914
2015-01-23 18:00:00 CST,1.0539990663528442,(204.65625),(147.9039306640625),(227.1500244140625),(59.65196990966797),(62.561988830566406),8.445999145507812
2015-01-24 00:00:00 CST,1.2639987468719482,(185.40603637695312),(89.33792114257812),(227.37600708007812),(61.92796325683594),(62.84798049926758),10.581997871398926
2015-01-24 06:00:00 CST,1.337998867034912,(218.6320037841797),(66.00593566894531),(229.05601501464844),(52.91197967529297),(54.61799621582031),11.458000183105469
2015-01-24 12:00:00 CST,1.1919989585876465,(204.86021423339844),(61.84784698486328),(225.67001342773438),(47.329952239990234),(47.51596450805664),8.871997833251953
2015-01-24 18:00:00 CST,0.9979989528656006,(228.37338256835938),(161.11402893066406),(224.9940185546875),(54.159942626953125),(59.5899658203125),8.127996444702148
2015-01-25 00:00:00 CST,1.5739994049072266,(181.37203979492188),(68.94393920898438),(225.00601196289062),(62.05596923828125),(58.553985595703125),14.0780029296875
2015-01-25 06:00:00 CST,1.7879992723464966,(288.0260009765625),(57.96795654296875),(57.47797393798828),(55.33796691894531),(53.81999969482422),13.97000503540039
