Time,Significant_height_of_combined_wind_waves_and_swell_surface,Direction_of_swell_waves_ordered_sequence_of_data,Direction_of_wind_waves_surface,Primary_wave_direction_surface,Secondary_wave_direction_surface,Wind_speed_surface,Wind_direction_from_which_blowing_surface
2015-01-20 00:00:00 CST,0.7380000948905945,(194.90199279785156),(207.5780029296875),(271.9259948730469),(missing),2.7540011405944824,(259.302001953125)
2015-01-20 06:00:00 CST,0.7160000801086426,(296.12200927734375),(208.99200439453125),(264.552001953125),(missing),1.0440008640289307,(289.3419494628906)
2015-01-20 12:00:00 CST,0.7039999961853027,(295.94000244140625),(210.41000366210938),(255.9140167236328),(missing),2.6399998664855957,(197.82598876953125)
2015-01-20 18:00:00 CST,0.7200000882148743,(297.33001708984375),(213.64801025390625),(244.20401000976562),(missing),4.136001110076904,(244.04600524902344)
2015-01-21 00:00:00 CST,0.7080000638961792,(230.25396728515625),(216.989990234375),(245.31600952148438),(missing),2.770000696182251,(291.1499938964844)
2015-01-21 06:00:00 CST,0.7100000381469727,(192.50999450683594),(219.67401123046875),(236.7760009765625),(missing),2.7960002422332764,(321.5359802246094)
2015-01-21 12:00:00 CST,0.718000054359436,(206.22198486328125),(220.10400390625),(232.24200439453125),(missing),1.931999921798706,(262.3059997558594)
2015-01-21 18:00:00 CST,0.7320000529289246,(189.7139892578125),(221.9820098876953),(231.85601806640625),(missing),3.6200008392333984,(265.4839782714844)
2015-01-22 00:00:00 CST,0.7640001177787781,(211.50399780273438),(220.64401245117188),(231.48599243164062),(missing),2.6100006103515625,(290.5639953613281)
2015-01-22 06:00:00 CST,0.8160001039505005,(209.04798889160156),(215.8280029296875),(227.24398803710938),(missing),2.8640003204345703,(335.8699951171875)
2015-01-22 12:00:00 CST,0.8840001225471497,(207.79600524902344),(209.38999938964844),(223.58999633789062),(missing),0.7680000066757202,(243.61976623535156)
2015-01-22 18:00:00 CST,0.9340001344680786,(210.0659942626953),(206.56399536132812),(225.42401123046875),(missing),2.3540008068084717,(220.79598999023438)
2015-01-23 00:00:00 CST,0.9340001344680786,(294.8740234375),(207.94000244140625),(226.87802124023438),(missing),2.164000988006592,(281.906005859375)
2015-01-23 06:00:00 CST,0.9140000343322754,(294.9540100097656),(211.552001953125),(236.76800537109375),(missing),2.328000068664551,(328.30596923828125)
2015-01-23 12:00:00 CST,0.8920000791549683,(295.0419921875),(214.58399963378906),(226.5880126953125),(missing),2.0400004386901855,(274.6600036621094)
2015-01-23 18:00:00 CST,0.8820000886917114,(229.00006103515625),(217.8300018310547),(227.02601623535156),(missing),1.8860002756118774,(264.1819763183594)
2015-01-24 00:00:00 CST,0.8520001173019409,(275.15191650390625),(221.40802001953125),(233.33999633789062),(missing),1.5620006322860718,(295.71197509765625)
2015-01-24 06:00:00 CST,0.8220000863075256,(275.34393310546875),(224.7580108642578),(246.40200805664062),(missing),1.3919997215270996,(359.10198974609375)
2015-01-24 12:00:00 CST,0.7920000553131104,(279.13995361328125),(227.36001586914062),(229.60000610351562),(missing),2.4760003089904785,(263.8919982910156)
2015-01-24 18:00:00 CST,0.7740001082420349,(279.41192626953125),(229.13201904296875),(231.36199951171875),(missing),2.388000726699829,(260.5740051269531)
2015-01-25 00:00:00 CST,0.752000093460083,(279.46392822265625),(228.03599548339844),(235.26199340820312),(missing),0.8880009055137634,(273.54595947265625)
2015-01-25 06:00:00 CST,0.7340000867843628,(225.39007568359375),(226.31600952148438),(243.9840087890625),(missing),0.8579995632171631,(87.7481689453125)
