Time,LatLon_14X16-11p0N-87p00W/sig_wav_ht_surface,LatLon_14X16-11p0N-87p00W/max_wav_ht_surface,LatLon_14X16-11p0N-87p00W/peak_wav_dir_surface,LatLon_14X16-11p0N-87p00W/peak_wav_per_surface,LatLon_27X31-10p25N-87p25W/wnd_ucmp_height_above_ground,LatLon_27X31-10p25N-87p25W/wnd_vcmp_height_above_ground
2015-03-10 00:00 CST,0.8089977502822876,1.0274271965026855,194.0,12.0,-3.6071947574615475,-6.868817996978759
2015-03-10 06:00 CST,0.8039976358413696,1.0210769176483154,194.09999084472656,12.0,-8.46000051498413,-7.9920121192932125
2015-03-10 12:00 CST,0.7829976081848145,0.9944069981575012,195.69998168945312,12.0,-9.99352626800537,3.2255689859390255
2015-03-10 18:00 CST,0.793997585773468,1.008376955986023,196.79998779296875,12.0,-2.8152577400207517,0.9647918701171875
2015-03-11 00:00 CST,0.8139978051185608,1.0337772369384766,198.0,12.199996948242188,-4.9535950183868405,-6.516014814376831
2015-03-11 06:00 CST,0.9139968156814575,1.160775899887085,200.3999786376953,14.000000953674316,-6.667172527313232,-6.011975383758545
2015-03-11 12:00 CST,0.9439969062805176,1.198876142501831,199.39993286132812,15.599976539611816,-4.154338788986206,5.601584100723266
2015-03-11 18:00 CST,0.9529973864555359,1.2103066444396973,201.49998474121094,16.0,4.4783281803131105,0.5976576447486878
2015-03-12 00:00 CST,1.028997540473938,1.3068269491195679,202.29998779296875,15.799999237060547,-4.607947111129761,-6.739160871505737
2015-03-12 06:00 CST,1.1089972257614136,1.4084265232086182,198.29998779296875,14.800000190734863,-5.903981494903564,-6.134363508224487
2015-03-12 12:00 CST,1.1759966611862183,1.4935158491134644,200.0999755859375,14.000000953674316,-6.191890239715576,5.040000772476196
2015-03-12 18:00 CST,1.2299965620040894,1.5620955228805542,200.4999542236328,14.000000953674316,-1.584014046192169,2.952028942108154
2015-03-13 00:00 CST,1.2439970970153809,1.5798765420913696,200.39996337890625,14.000000953674316,-6.551961135864257,-7.056003141403198
2015-03-13 06:00 CST,1.2059968709945679,1.5316160917282104,200.5999755859375,13.800000190734863,-6.191997528076172,-11.383180904388427
2015-03-13 12:00 CST,1.1509965658187866,1.4617656469345093,201.3999786376953,13.000000953674316,-13.355884265899657,2.311203718185425
2015-03-13 18:00 CST,1.1349960565567017,1.441444993019104,201.19998168945312,13.000000953674316,-7.6103513717651365,2.5199930906295775
2015-03-14 00:00 CST,1.0719963312149048,1.3614351749420166,199.0999755859375,13.000000953674316,-6.66720643043518,-9.287978267669677
2015-03-14 06:00 CST,1.0109964609146118,1.2839655876159668,199.79995727539062,13.000000953674316,-7.6823890686035154,-8.964009475708007
2015-03-14 12:00 CST,0.9319970607757568,1.1836363077163696,199.99996948242188,12.0,-7.5743290901184075,5.356779098510742
2015-03-14 18:00 CST,0.8639975786209106,1.0972769260406494,199.2999725341797,12.0,-1.3968317985534668,4.795177316665649
2015-03-15 00:00 CST,0.8619980812072754,1.0947375297546387,198.49998474121094,12.0,-2.9808332920074463,-6.998376846313477
2015-03-15 06:00 CST,0.8719976544380188,1.107437014579773,197.79998779296875,12.0,-7.689584255218506,-7.063200902938842
2015-03-15 12:00 CST,0.8719971776008606,1.1074362993240356,196.8999786376953,12.0,-5.31349811553955,7.660767459869384
2015-03-15 18:00 CST,0.8899965286254883,1.1302955150604248,196.59999084472656,12.0,1.9511257410049438,1.3896384358406066
2015-03-16 00:00 CST,0.8609968423843384,1.0934659242630005,196.6999969482422,12.0,-4.766367816925048,-6.7680004119873045
2015-03-16 06:00 CST,0.9169963002204895,1.1645852327346802,198.99998474121094,11.0,-8.200783252716064,-10.44001064300537
2015-03-16 12:00 CST,1.0149955749511719,1.2890443801879883,195.39999389648438,18.400005340576172,-12.765515899658203,-1.2384118437767029
2015-03-16 18:00 CST,1.1589953899383545,1.4719241857528687,195.39999389648438,18.0,-7.776004600524902,-2.0448015689849854
2015-03-17 00:00 CST,1.209995985031128,1.5366950035095215,195.0,17.0,-8.640000343322754,-12.031188011169434
